Symbol,Name,Wtd Alpha,Last,Change,%Chg,52W High,52W Low,52W %Chg,Time
FDS,Factset Research Systems Inc,20.1,469.13,-1.05,-0.22%,475,377.89,17.72%,2023/12/22
FDX,Fedex Corp,29.9,248.03,0.67,0.27%,285.53,171.55,41.17%,2023/12/22
FE,Firstenergy Corp,-12.7,36.23,-0.1,-0.28%,43.31,32.18,-12.49%,2023/12/22
FFIV,F5 Inc,32.3,178.99,0.9,0.51%,180.35,127.05,27.83%,2023/12/22
FI,Fiserv Inc,32.5,133.61,0.4,0.30%,136.49,98.81,34.23%,2023/12/22
FICO,Fair Isaac and Company,98.1,1168.88,3.42,0.29%,1185.42,575.39,90.21%,2023/12/22
FIS,Fidelity National Information Services,-4.5,59.94,0.23,0.39%,79.32,46.91,-9.97%,2023/12/22
FITB,Fifth Third Bancorp,20.5,34.47,0.07,0.20%,38.06,22.11,7.28%,2023/12/22
FLT,Fleetcor Technologies,50.1,277.42,0.39,0.14%,281.44,177.07,55.99%,2023/12/22
FMC,FMC Corp,-51.8,62.74,0.64,1.03%,133.37,49.49,-49.68%,2023/12/22
FOX,Fox Corp Cl B,-7.6,27.75,-0.14,-0.50%,34.42,26.2,-2.77%,2023/12/22
FOXA,Fox Corp Cl A,-7.2,29.81,-0.16,-0.53%,37.26,28.67,-2.26%,2023/12/22
FRT,Federal Realty Investment Trust,6,104.01,-0.44,-0.42%,115.08,85.27,2.73%,2023/12/22
FSLR,First Solar Inc,-9.9,170.39,0.35,0.21%,232,129.21,8.60%,2023/12/22
FTNT,Fortinet Inc,22.1,59.27,0.76,1.30%,81.24,44.12,20.59%,2023/12/22
FTV,Fortive Corp,12.1,72.89,0.31,0.43%,79.9,62.7,14.00%,2023/12/22
GD,General Dynamics Corp,9.6,254.1,1.67,0.66%,256.32,202.35,3.05%,2023/12/22
GE,General Electric Company,85.6,126.69,-0.28,-0.22%,128.03,62.88,99.48%,2023/12/22
GEHC,Ge Healthcare Technologies Inc,28.1,77.58,0.39,0.51%,87.83,53.5,34.69%,2023/12/22
GEN,Gen Digital Inc,21,23.14,-0.04,-0.17%,23.74,15.45,8.59%,2023/12/22
GILD,Gilead Sciences Inc,-3.7,79.66,0.73,0.92%,88.29,72.87,-6.59%,2023/12/22
GIS,General Mills,-24.9,64.51,0.3,0.47%,90.89,60.33,-24.26%,2023/12/22
GL,Globe Life Inc,5.9,121.59,-0.08,-0.07%,125.02,102.23,2.69%,2023/12/22
GLW,Corning Inc,-6.7,30.23,0.05,0.17%,37.1,25.26,-4.24%,2023/12/22
GM,General Motors Company,8.1,36.02,-0.23,-0.63%,43.63,26.3,7.43%,2023/12/22
GNRC,Generac Holdings Inc,33,128.81,-0.66,-0.51%,156.95,79.86,43.46%,2023/12/22
GOOG,Alphabet Cl C,55,142.72,0.92,0.65%,143.25,85.57,61.70%,2023/12/22
GOOGL,Alphabet Cl A,54.6,141.49,1.07,0.76%,141.99,84.86,61.22%,2023/12/22
GPC,Genuine Parts Company,-21.2,138.98,0.51,0.37%,181.37,126.35,-20.58%,2023/12/22
GPN,Global Payments Inc,31.7,126.89,0.52,0.41%,138.07,94.05,34.20%,2023/12/22
GRMN,Garmin Ltd,44.4,128.06,0.64,0.50%,128.8,90.01,40.69%,2023/12/22
GS,Goldman Sachs Group,16.9,380.65,0.08,0.02%,386.2,289.36,10.15%,2023/12/22
GWW,W.W. Grainger,45.6,827.85,3.81,0.46%,841,534.01,47.47%,2023/12/22
HAL,Halliburton Company,-4.4,36.59,-0.05,-0.14%,43.85,27.84,-2.53%,2023/12/22
HAS,Hasbro Inc,-16.5,51.02,-0.06,-0.12%,73.57,42.66,-11.58%,2023/12/22
HBAN,Huntington Bcshs,2.8,12.66,0.02,0.16%,15.62,9.13,-8.99%,2023/12/22
HCA,Hca Holdings Inc,10.3,269.99,1.24,0.46%,304.86,215.96,11.96%,2023/12/22
HD,Home Depot,15.8,348.59,-0.38,-0.11%,354.92,274.26,10.27%,2023/12/22
HES,Hess Corp,3.7,146.56,0.41,0.28%,167.75,113.82,8.32%,2023/12/22
HIG,Hartford Financial Services Group,9.7,79.57,0.5,0.63%,81.07,64.25,5.56%,2023/12/22
HII,Huntington Ingalls Industries,19.6,256.09,2.07,0.81%,258.56,188.51,11.82%,2023/12/22
HLT,Hilton Inc,47,181.51,-0.01,-0.01%,182.92,123.74,44.12%,2023/12/22
HOLX,Hologic Inc,-8.6,71.04,-0.03,-0.04%,87.88,64.02,-5.74%,2023/12/22
HON,Honeywell International Inc,1.1,205.64,0.59,0.29%,217.22,174.88,-3.14%,2023/12/22
HPE,Hewlett Packard Enterprise Comp,10.1,17.09,0.09,0.53%,18.14,13.65,8.78%,2023/12/22
HPQ,HP Inc,11.2,30.18,0.04,0.13%,33.9,25.22,13.20%,2023/12/22
HRL,Hormel Foods Corp,-31.6,31.76,0.09,0.28%,47.03,30.12,-30.06%,2023/12/22
HSIC,Henry Schein Inc,-6.1,74.92,-0.07,-0.09%,89.72,60.01,-6.98%,2023/12/22
HST,Host Marriott Financial Trust,27.9,19.77,0.2,1.02%,20.03,14.51,23.18%,2023/12/22
HSY,Hershey Foods Corp,-27.2,182.52,1.52,0.84%,276.88,178.82,-22.31%,2023/12/22
HUBB,Hubbell Inc B,37.5,325.99,1.44,0.44%,340.06,219.77,38.87%,2023/12/22
HUM,Humana Inc,-13.1,453.2,-0.74,-0.16%,541.21,423.29,-11.56%,2023/12/22
HWM,Howmet Aerospace Inc,38.3,53.57,0.1,0.19%,54.53,38.17,39.00%,2023/12/22
IBM,International Business Machines,21.8,162.14,1.36,0.85%,166.34,120.55,15.09%,2023/12/22
ICE,Intercontinental Exchange,25.9,125.72,1.49,1.20%,125.91,94.16,22.70%,2023/12/22
IDXX,Idexx Laboratories,36,554.04,1.43,0.26%,568.3,372.5,34.16%,2023/12/22
IEX,Idex Corp,-4,214.38,0.27,0.13%,240.15,183.76,-6.65%,2023/12/22
IFF,International Flavors & Fragrances,-15.1,80.7,0.25,0.31%,118.34,62.11,-21.89%,2023/12/22
ILMN,Illumina Inc,-29.1,140,-0.23,-0.16%,238.55,89,-28.49%,2023/12/22
INCY,Incyte Corp,-17.9,62.85,1.16,1.88%,86.29,50.27,-22.52%,2023/12/22
INTC,Intel Corp,93.7,48,0.92,1.95%,48.16,24.73,84.83%,2023/12/22
INTU,Intuit Inc,67.7,624.07,3.08,0.50%,627.83,370.62,62.54%,2023/12/22
INVH,Invitation Homes Inc,12.4,34.23,0.01,0.03%,36.53,28.49,15.56%,2023/12/22
IP,International Paper Company,8.1,36.64,0.06,0.16%,41.89,29,6.42%,2023/12/22
IPG,Interpublic Group of Companies,-2.8,32.86,-0.11,-0.33%,40.95,27.2,0.15%,2023/12/22
IQV,Iqvia Holdings Inc,16.1,229.38,0.05,0.02%,241.86,167.42,12.92%,2023/12/22
IR,Ingersoll Rand Inc,49,76.48,0.68,0.90%,76.86,51.64,47.08%,2023/12/22
IRM,Iron Mountain Inc,40.8,69.37,0.32,0.46%,69.61,48.92,36.88%,2023/12/22
ISRG,Intuitive Surg Inc,31.1,336.26,2.81,0.84%,358.07,222.65,27.56%,2023/12/22
IT,Gartner Inc,42.9,446.49,3.15,0.71%,469.58,292.6,33.26%,2023/12/22
ITW,Illinois Tool Works Inc,20,261.91,1.42,0.55%,264.19,217.06,18.95%,2023/12/22
IVZ,Invesco Plc,4.9,17.7,0.22,1.26%,20.56,12.48,-3.12%,2023/12/22
J,Jacobs Engineering Group Inc,5.7,128.07,0.53,0.42%,141.16,109,6.83%,2023/12/22
JBHT,J B Hunt Transport,16.6,201.7,1.06,0.53%,209.21,163.66,14.32%,2023/12/22
JBL,Jabil Circuit,78.1,127.88,-0.87,-0.68%,141.38,64.74,84.40%,2023/12/22
JCI,Johnson Controls Intl,-10.8,56.74,0.77,1.38%,70.43,47.9,-11.52%,2023/12/22
JKHY,Jack Henry & Assoc,-2,165.08,1.81,1.11%,184.18,136.57,-6.56%,2023/12/22
JNJ,Johnson & Johnson,-10.7,155.46,0.62,0.40%,180.93,144.95,-12.18%,2023/12/22
JNPR,Juniper Networks,-4.7,29.45,0.24,0.82%,34.53,24.87,-6.18%,2023/12/22
JPM,JP Morgan Chase & Company,31.2,167.4,-0.1,-0.06%,169.41,123.11,28.12%,2023/12/22
K,Kellanova,-24.7,54.48,0.63,1.17%,73.06,47.63,-23.98%,2023/12/22
